ticker,company,industry,sub_industry,cik
LDOS,Leidos Holdings,Information Technology,IT Consulting & Other Services,1336920
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,920760
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,59478
LNC,Lincoln National,Financials,Multi-line Insurance,59558
LIN,Linde plc,Materials,Industrial Gases,1707925
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,1335258
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,1065696
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,936468
L,Loews Corp.,Financials,Multi-line Insurance,60086
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,60667
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,18926
LYB,LyondellBasell,Materials,Specialty Chemicals,1489393
MTB,M&T Bank Corp.,Financials,Regional Banks,36270
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,101778
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,1510295
MKTX,MarketAxess,Financials,Financial Exchanges & Data,1278021
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1048286
MMC,Marsh & McLennan,Financials,Insurance Brokers,62709
MLM,Martin Marietta Materials,Materials,Construction Materials,916076
MAS,Masco Corp.,Industrials,Building Products,62996
MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,1141391
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,63754
MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,743316
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,63908
MCK,McKesson Corp.,Health Care,Health Care Distributors,927653
MDT,Medtronic plc,Health Care,Health Care Equipment,1613103
MRK,Merck & Co.,Health Care,Pharmaceuticals,310158
MET,MetLife Inc.,Financials,Life & Health Insurance,1099219
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,1037646
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,789570
MCHP,Microchip Technology,Information Technology,Semiconductors,827054
MU,Micron Technology,Information Technology,Semiconductors,723125
MSFT,Microsoft Corp.,Information Technology,Systems Software,789019
MAA,Mid-America Apartments,Real Estate,Residential REITs,912595
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,851968
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,24545
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,1103982
MNST,Monster Beverage,Consumer Staples,Soft Drinks,865752
MCO,Moody's Corp,Financials,Financial Exchanges & Data,1059556
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,895421
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,1285785
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,68505
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,1408198
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,1120193
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1002047
NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,1065280
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,814453
NEM,Newmont Corporation,Materials,Gold,1164727
NWSA,News Corp (Class A),Communication Services,Publishing,1564708
NWS,News Corp (Class B),Communication Services,Publishing,1564708
NEE,NextEra Energy,Utilities,Multi-Utilities,753308
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,1492633
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",320187
NI,NiSource Inc.,Utilities,Multi-Utilities,1111711
NSC,Norfolk Southern Corp.,Industrials,Railroads,702165
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,73124
NOC,Northrop Grumman,Industrials,Aerospace & Defense,1133421
NLOK,NortonLifeLock,Information Technology,Application Software,849399
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1513761
NOV,NOV Inc.,Energy,Oil & Gas Equipment & Services,1021860
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,1013871
NUE,Nucor Corp.,Materials,Steel,73309
NVDA,Nvidia Corporation,Information Technology,Semiconductors,1045810
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,906163
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,898173
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,797468
ODFL,Old Dominion Freight Line,Industrials,Trucking,878927
OMC,Omnicom Group,Communication Services,Advertising,29989
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,1039684
ORCL,Oracle Corp.,Information Technology,Application Software,1341439
OTIS,Otis Worldwide,Industrials,Industrial Machinery,1781335
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,75362
PKG,Packaging Corporation of America,Materials,Paper Packaging,75677
PH,Parker-Hannifin,Industrials,Industrial Machinery,76334
PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,723531
PAYC,Paycom,Information Technology,Application Software,1590955
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,1633917
PNR,Pentair plc,Industrials,Industrial Machinery,77360
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,1378946
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,77476
PKI,PerkinElmer,Health Care,Health Care Equipment,31791
PRGO,Perrigo,Health Care,Pharmaceuticals,1585364
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,78003
PM,Philip Morris International,Consumer Staples,Tobacco,1413329
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,1534701
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,764622
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,1038357
PNC,PNC Financial Services,Financials,Regional Banks,713676
POOL,Pool Corporation,Consumer Discretionary,Distributors,945841
PPG,PPG Industries,Materials,Specialty Chemicals,79879
PPL,PPL Corp.,Utilities,Electric Utilities,922224
PFG,Principal Financial Group,Financials,Life & Health Insurance,1126328
PG,Procter & Gamble,Consumer Staples,Personal Products,80424
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,80661
PLD,Prologis,Real Estate,Industrial REITs,1045609
PRU,Prudential Financial,Financials,Life & Health Insurance,1137774
PEG,Public Service Enterprise Group (PSEG),Utilities,Electric Utilities,788784
PSA,Public Storage,Real Estate,Specialized REITs,1393311
PHM,PulteGroup,Consumer Discretionary,Homebuilding,822416
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",78239
QRVO,Qorvo,Information Technology,Semiconductors,1604778
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,1050915
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,804328
DGX,Quest Diagnostics,Health Care,Health Care Services,1022079
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1037038
RJF,"Raymond James Financial, Inc.",Financials,Investment Banking & Brokerage,720005
RTX,Raytheon Technologies,Industrials,Aerospace & Defense,101829
O,Realty Income Corporation,Real Estate,Retail REITs,726728
REG,Regency Centers Corporation,Real Estate,Retail REITs,910606
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,872589
RF,Regions Financial Corp.,Financials,Regional Banks,1281761
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,1060391
RMD,ResMed,Health Care,Health Care Equipment,943819
RHI,Robert Half International,Industrials,Human Resource & Employment Services,315213
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,1024478
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,84839
ROP,Roper Technologies,Industrials,Industrial Conglomerates,882835
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,745732
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",884887
SPGI,S&P Global Inc.,Financials,Financial Exchanges & Data,64040
CRM,Salesforce.com,Information Technology,Application Software,1108524
SBAC,SBA Communications,Real Estate,Specialized REITs,1034054
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,87347
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",1137789
SEE,Sealed Air,Materials,Paper Packaging,1012100
SRE,Sempra Energy,Utilities,Multi-Utilities,1032208
NOW,ServiceNow,Information Technology,Systems Software,1373715
SHW,Sherwin-Williams,Materials,Specialty Chemicals,89800
SPG,Simon Property Group Inc,Real Estate,Retail REITs,1063761
SWKS,Skyworks Solutions,Information Technology,Semiconductors,4127
SLG,SL Green Realty,Real Estate,Office REITs,1040971
SNA,Snap-on,Industrials,Industrial Machinery,91440
SO,Southern Company,Utilities,Electric Utilities,92122
LUV,Southwest Airlines,Industrials,Airlines,92380
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,93556
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,829224
STT,State Street Corp.,Financials,Asset Management & Custody Banks,93751
STE,STERIS plc,Health Care,Health Care Equipment,1757898
SYK,Stryker Corp.,Health Care,Health Care Equipment,310764
SIVB,SVB Financial,Financials,Regional Banks,719739
SYF,Synchrony Financial,Financials,Consumer Finance,1601712
SNPS,Synopsys Inc.,Information Technology,Application Software,883241
SYY,Sysco Corp.,Consumer Staples,Food Distributors,96021
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,1283699
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,1113169
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,946581
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1116132
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,27419
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,1385157
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,1681459
TDY,Teledyne Technologies,Industrials,Aerospace & Defense,1094285
TFX,Teleflex,Health Care,Health Care Equipment,96943
TER,Teradyne,Information Technology,Semiconductor Equipment,97210
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,1318605
TXN,Texas Instruments,Information Technology,Semiconductors,97476
TXT,Textron Inc.,Industrials,Aerospace & Defense,217346
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,97745
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,109198
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,916365
TT,Trane Technologies plc,Industrials,Building Products,1466258
TDG,TransDigm Group,Industrials,Aerospace & Defense,1260221
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,86312
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,864749
TFC,Truist Financial,Financials,Regional Banks,92230
TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,1418091
TYL,Tyler Technologies,Information Technology,Application Software,860731
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,100493
UDR,"UDR, Inc.",Real Estate,Residential REITs,74208
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,1403568
USB,U.S. Bancorp,Financials,Diversified Banks,36104
UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1336917
UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1336917
UNP,Union Pacific Corp,Industrials,Railroads,100885
UAL,United Airlines Holdings,Industrials,Airlines,100517
UNH,UnitedHealth Group Inc.,Health Care,Managed Health Care,731766
UPS,United Parcel Service,Industrials,Air Freight & Logistics,1090727
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,1067701
UHS,Universal Health Services,Health Care,Health Care Facilities,352915
UNM,Unum Group,Financials,Life & Health Insurance,5513
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,1035002
VAR,Varian Medical Systems,Health Care,Health Care Equipment,203527
VTR,Ventas Inc,Real Estate,Health Care REITs,740260
VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,1014473
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,1442145
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,732712
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,875320
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",103379
VIAC,ViacomCBS,Communication Services,Movies & Entertainment,813828
VTRS,Viatris,Health Care,Pharmaceuticals,1792044
V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,1403161
VNT,Vontier,Information Technology,Electronic Equipment & Instruments,1786842
VNO,Vornado Realty Trust,Real Estate,Office REITs,899689
VMC,Vulcan Materials,Materials,Construction Materials,1396009
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,11544
WAB,Westinghouse Air Brake Technologies Corp,Industrials,Construction Machinery & Heavy Trucks,943452
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,104169
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,1618921
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,1744489
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,823768
WAT,Waters Corporation,Health Care,Health Care Distributors,1000697
WEC,WEC Energy Group,Utilities,Electric Utilities,783325
WFC,Wells Fargo,Financials,Diversified Banks,72971
WELL,Welltower Inc.,Real Estate,Health Care REITs,766704
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,105770
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",106040
WU,Western Union Co,Information Technology,Data Processing & Outsourced Services,1365135
WRK,WestRock,Materials,Paper Packaging,1732845
WY,Weyerhaeuser,Real Estate,Specialized REITs,106535
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,106640
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,107263
WLTW,Willis Towers Watson,Financials,Insurance Brokers,1140536
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,1174922
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,72903
XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals",1770450
XLNX,Xilinx,Information Technology,Semiconductors,743988
XYL,Xylem Inc.,Industrials,Industrial Machinery,1524472
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,1041061
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,877212
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,1136869
ZION,Zions Bancorp,Financials,Regional Banks,109380
ZTS,Zoetis,Health Care,Pharmaceuticals,1555280
